,business_id,name,address,city,state,postal_code,latitude,longitude,phone_number,zip_code,totalIns
2991,66517,MELA TANDOORI KITCHEN,536 GOLDEN GATE AVE ,San Francisco,CA,94102,37.781168,-122.419494,+14152159953,94102,2
2993,66534,MIDWAY GRILL (SNACK SHOP),99 HARDING PARK ROAD,San Francisco,CA,94103,37.723698,-122.49528899999999,,94103,3
2994,66536,CYPRESS GRILL,99 HARDING PARK RD ,San Francisco,CA,94132,37.723698,-122.49528899999999,+14156644690,94132,3
2995,66583,KARA'S CUPCAKES,2565 03RD ST #334,San Francisco,CA,94107,37.757114,-122.388034,+14153701431,94107,3
2996,66584,WESTERN DONUTS SHOP #2,5101 MISSION ST ,San Francisco,CA,94112,37.717042,-122.440524,+14152391830,94112,3
2997,66592,JOHN KING SENIOR CENTER,500 RAYMOND AVE ,San Francisco,CA,94134,37.715037,-122.413743,+14156777600,94134,3
2998,66612,KAMA SUSHI,1497 CHURCH ST,San Francisco,CA,94131,37.746961999999996,-122.426905,+14159876242,94131,3
2999,66637,GODZILA SUSHI,1800 DIVISADERO ST ,San Francisco,CA,94115,37.786229,-122.43998400000001,+14157939675,94115,2
3001,66656,ANOTHER CAFE,1191 PINE ST ,San Francisco,CA,94109,37.790253,-122.415357,+14157407800,94109,4
3002,66679,NEW WOEY LOY GOEY RESTAURANT,699 JACKSON ST ,San Francisco,CA,94133,37.796013,-122.406507,+14153990733,94133,2
3003,66684,THE ICE CREAM BAR,815 COLE ST ,San Francisco,CA,94117,37.766566999999995,-122.450189,+14155969748,94117,3
3004,66685,TACOLICIOUS,741 VALENCIA ST ,San Francisco,CA,94110,37.760974,-122.421456,+14154207869,94110,3
3005,66687,CHIPOTLE MEXICAN GRILL,1523 SLOAT BLVD ,San Francisco,CA,94132,37.733944,-122.49043799999998,+14153765392,94132,4
3006,66694,STREETS,634 POLK ST ,San Francisco,CA,94102,37.782506,-122.418993,+14153732168,94102,2
3007,66695,LEE'S DELI,280 BATTERY ST ,San Francisco,CA,94111,37.793996,-122.40009599999999,+14159828280,94111,2
3009,66704,DR. TEETH AND THE ELECTRIC MAYHEM,2323 MISSION ST ,San Francisco,CA,94110,37.759824,-122.41913600000001,+14152852380,94110,3
3010,66705,GREEN ISLAND RESTAURANT,4012 GEARY BLVD ,San Francisco,CA,94118,37.781208,-122.462432,,94118,2
3011,66709,MINT,1 DR CARLTON B GOODLETT PL GROUND FLOOR,San Francisco,CA,94102,37.778492,-122.418291,+14157992722,94102,1
3012,66711,PARIS PIZZA,448 BROADWAY ST ,San Francisco,CA,94133,37.798168,-122.404605,+14159899700,94133,1
3013,66715,BRICK AND MORTAR,1710 MISSION ST ,San Francisco,CA,94103,37.769735,-122.420174,+14153711631,94103,1
3014,66717,GIORDANO BROS.,3108 16TH ST ,San Francisco,CA,94103,37.764953000000006,-122.42211299999998,+14154372769,94103,2
3015,66732,SOMA RESTAURANT AND BAR,85 05TH ST ,San Francisco,CA,94103,37.782854,-122.40666200000001,+14157788500,94103,4
3017,66737,THE PASTRY CUPBOARD,1596 MARKET ST ,San Francisco,CA,94102,37.774459,-122.42028799999999,+14154883591,94102,3
3018,66768,LITTLE VINE,1541 GRANT AVE ,San Francisco,CA,94133,37.801109000000004,-122.407756,+14152727567,94133,2
3019,66771,STANZA,1673 HAIGHT ST ,San Francisco,CA,94117,37.769563,-122.450097,+14156685282,94117,3
3020,66808,BURGER KING 3684,819 VAN NESS AVE,San Francisco,CA,94109,37.783196000000004,-122.42098500000002,+14153318144,94109,4
3021,66811,BK11852,1298 HOWARD ST ,San Francisco,CA,94103,37.775314,-122.412819,+14153318144,94103,3
3023,66874,PENINSULA SEAFOOD RESTAURANT,641 JACKSON ST ,San Francisco,CA,94133,37.79607,-122.405846,+14153988383,94133,4
3024,66894,CLANCEY'S MARKET-DELI,3960 IRVING ST ,San Francisco,CA,94122,37.762597,-122.50026499999998,+14156819569,94122,3
